,Round,Day,Date,Time,Venue,Result,GF,GA,Opponent,Attendance,Captain,Formation,Referee,event_id,Manager,League Position ,squadnumber,team_name,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,player_name,Game,Player Position
192,Matchweek 2,Sat,10/08/2019,15:00 (00:00),Away,D,1.0,1.0,Ipswich Town,"24,051",Aiden McGeady,4_3_3,Neil Hair,167939.0,JR,14.0,18.0,Sunderland,20436,6.7,90.0,0.0,0.0,,0.0,0.0,0.0,30.0,1.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,George Dobson,Ipswich Town 10/08/2019,MID
193,Matchweek 3,Sat,17/08/2019,12:30 (21:30),Home,W,2.0,1.0,Portsmouth,"29,140",Grant Leadbitter,4_2_3_1,Michael Salisbury,167955.0,JR,9.0,,Sunderland,20436,,,,,,,,,,,,,,,,,,,,,,,,,George Dobson,Portsmouth 17/08/2019,MID
194,Matchweek 4,Tue,20/08/2019,19:45 (04:45),Away,W,2.0,1.0,Rochdale,"5,258",Grant Leadbitter,4_2_3_1,John Busby,167966.0,JR,6.0,,Sunderland,20436,,,,,,,,,,,,,,,,,,,,,,,,,George Dobson,Rochdale 20/08/2019,MID
195,Matchweek 5,Sat,24/08/2019,15:00 (00:00),Home,W,3.0,1.0,AFC Wimbledon,"29,725",Grant Leadbitter,4_2_3_1,Anthony Backhouse,167979.0,JR,4.0,18.0,Sunderland,20436,6.6,8.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,George Dobson,AFC Wimbledon 24/08/2019,MID
196,Matchweek 6,Sat,31/08/2019,15:00 (00:00),Away,L,0.0,3.0,P'borough Utd,"10,005",Grant Leadbitter,4_2_3_1,Craig Hicks,167991.0,JR,6.0,18.0,Sunderland,20436,6.7,12.0,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,George Dobson,P'borough Utd 31/08/2019,MID
197,Matchweek 8,Sat,14/09/2019,15:00 (00:00),Away,W,3.0,1.0,Acc'ton Stanley,"4,164",Grant Leadbitter,4_2_3_1,Lee Swabey,168007.0,JR,6.0,18.0,Sunderland,20436,6.6,90.0,2.0,0.0,,0.0,0.0,0.0,34.0,0.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,George Dobson,Acc'ton Stanley 14/09/2019,MID
198,Matchweek 9,Tue,17/09/2019,19:45 (04:45),Home,D,1.0,1.0,Rotherham Utd,"29,078",Aiden McGeady,4_2_3_1,Ben Toner,168026.0,JR,5.0,18.0,Sunderland,20436,6.7,90.0,0.0,0.0,,0.0,0.0,0.0,17.0,0.0,68.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,George Dobson,Rotherham Utd 17/09/2019,MID
199,Matchweek 10,Sat,21/09/2019,15:00 (00:00),Away,D,1.0,1.0,Bolton,"12,026",Grant Leadbitter,4_2_3_1,Oliver Yates,168032.0,JR,5.0,18.0,Sunderland,20436,6.3,90.0,0.0,0.0,,0.0,0.0,0.0,38.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,George Dobson,Bolton 21/09/2019,MID
200,Matchweek 11,Sat,28/09/2019,15:00 (00:00),Home,W,2.0,1.0,MK Dons,"29,954",Jordan Willis,4_2_3_1,Paul Marsden,168053.0,JR,5.0,18.0,Sunderland,20436,0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,George Dobson,MK Dons 28/09/2019,MID
201,Matchweek 12,Sat,05/10/2019,15:00 (00:00),Away,L,0.0,2.0,Lincoln City,"10,264",Jordan Willis,4_2_3_1,Brett Huxtable,168061.0,JR,6.0,,Sunderland,20436,,,,,,,,,,,,,,,,,,,,,,,,,George Dobson,Lincoln City 05/10/2019,MID
202,Matchweek 14,Sat,19/10/2019,15:00 (01:00),Away,L,0.0,1.0,Wycombe,"8,395",Grant Leadbitter,4_2_3_1,Kevin Johnson,168089.0,PP,9.0,,Sunderland,20436,,,,,,,,,,,,,,,,,,,,,,,,,George Dobson,Wycombe 19/10/2019,MID
203,Matchweek 15,Tue,22/10/2019,19:45 (05:45),Home,W,5.0,0.0,Tranmere Rovers,"28,551",Max Power,4_2_3_1,Carl Boyeson,168100.0,PP,6.0,18.0,Sunderland,20436,7.1,90.0,2.0,0.0,,0.0,0.0,0.0,41.0,0.0,83.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,George Dobson,Tranmere Rovers 22/10/2019,MID
204,Matchweek 16,Sat,26/10/2019,15:00 (01:00),Away,L,0.0,1.0,Shrewsbury,"8,117",Max Power,4_2_3_1,Jarred Gillett,168111.0,PP,10.0,18.0,Sunderland,20436,7.3,90.0,2.0,0.0,,0.0,0.0,0.0,61.0,1.0,84.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,George Dobson,Shrewsbury 26/10/2019,MID
205,Matchweek 17,Sat,02/11/2019,15:00 (02:00),Home,W,1.0,0.0,Southend United,"30,407",Max Power,4_2_3_1,Trevor Kettle,168124.0,PP,7.0,18.0,Sunderland,20436,7.6,90.0,0.0,0.0,,0.0,0.0,0.0,43.0,0.0,82.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,George Dobson,Southend United 02/11/2019,MID
206,Matchweek 19,Sat,23/11/2019,15:00 (02:00),Home,D,1.0,1.0,Coventry City,"29,809",Grant Leadbitter,4_3_3,Scott Oldham,168148.0,PP,12.0,18.0,Sunderland,20436,7,90.0,1.0,0.0,,0.0,0.0,0.0,29.0,1.0,74.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,George Dobson,Coventry City 23/11/2019,MID
207,Matchweek 7,Tue,26/11/2019,19:45 (06:45),Home,L,1.0,2.0,Burton Albion,"26,538",Grant Leadbitter,4_2_3_1,Rob Lewis,168003.0,PP,10.0,,Sunderland,20436,,,,,,,,,,,,,,,,,,,,,,,,,George Dobson,Burton Albion 26/11/2019,MID
208,Matchweek 20,Sat,07/12/2019,15:00 (02:00),Away,L,0.0,1.0,Gillingham,"5,401",Grant Leadbitter,3_4_1_2,Andy Woolmer,168157.0,PP,12.0,18.0,Sunderland,20436,6.7,90.0,1.0,0.0,,0.0,0.0,0.0,26.0,0.0,83.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,George Dobson,Gillingham 07/12/2019,MID
209,Matchweek 21,Sat,14/12/2019,15:00 (02:00),Home,D,1.0,1.0,Blackpool,"30,595",Max Power,3_4_3,Oliver Yates,168172.0,PP,12.0,18.0,Sunderland,20436,5.6,74.0,0.0,0.0,,0.0,0.0,0.0,27.0,0.0,81.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,George Dobson,Blackpool 14/12/2019,MID
210,Matchweek 23,Thu,26/12/2019,15:00 (02:00),Home,D,0.0,0.0,Bolton,"33,821",Grant Leadbitter,3_4_3,Ross Joyce,168197.0,PP,15.0,,Sunderland,20436,,,,,,,,,,,,,,,,,,,,,,,,,George Dobson,Bolton 26/12/2019,MID
211,Matchweek 24,Sun,29/12/2019,15:00 (02:00),Away,W,2.0,1.0,Doncaster,"12,432",Max Power,3_4_3,Carl Boyeson,168202.0,PP,13.0,18.0,Sunderland,20436,6.8,90.0,1.0,0.0,,0.0,0.0,0.0,34.0,0.0,68.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,George Dobson,Doncaster 29/12/2019,MID
212,Matchweek 25,Wed,01/01/2020,15:00 (02:00),Away,D,1.0,1.0,Fleetwood Town,"4,011",Max Power,3_4_3,Anthony Backhouse,168215.0,PP,15.0,18.0,Sunderland,20436,7.3,78.0,2.0,0.0,,0.0,0.0,0.0,32.0,1.0,82.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,George Dobson,Fleetwood Town 01/01/2020,MID
213,Matchweek 26,Sat,04/01/2020,15:00 (02:00),Home,W,3.0,1.0,Lincoln City,"31,748",Max Power,3_4_3,Leigh Doughty,168233.0,PP,13.0,18.0,Sunderland,20436,7.2,90.0,0.0,0.0,,0.0,0.0,0.0,54.0,1.0,93.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,George Dobson,Lincoln City 04/01/2020,MID
214,Matchweek 27,Sat,11/01/2020,15:00 (02:00),Home,W,4.0,0.0,Wycombe,"29,331",Max Power,3_4_3,Andrew Davies,168245.0,PP,10.0,18.0,Sunderland,20436,7.3,90.0,0.0,0.0,,0.0,0.0,0.0,31.0,0.0,67.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,George Dobson,Wycombe 11/01/2020,MID
215,Matchweek 28,Sat,18/01/2020,15:00 (02:00),Away,W,1.0,0.0,MK Dons,"13,327",Max Power,3_4_3,Ben Toner,168254.0,PP,6.0,18.0,Sunderland,20436,7.2,90.0,0.0,0.0,,0.0,0.0,0.0,25.0,0.0,86.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,George Dobson,MK Dons 18/01/2020,MID
216,Matchweek 29,Fri,24/01/2020,19:45 (06:45),Home,D,0.0,0.0,Doncaster,"30,251",Max Power,3_4_3,James Adcock,168269.0,PP,8.0,18.0,Sunderland,20436,7,90.0,1.0,0.0,,0.0,0.0,0.0,38.0,0.0,79.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,George Dobson,Doncaster 24/01/2020,MID
217,Matchweek 30,Wed,29/01/2020,19:45 (06:45),Away,W,1.0,0.0,Tranmere Rovers,"6,850",Max Power,3_4_3,Anthony Coggins,168279.0,PP,7.0,18.0,Sunderland,20436,7,90.0,0.0,0.0,,0.0,0.0,0.0,34.0,1.0,73.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,George Dobson,Tranmere Rovers 29/01/2020,MID
218,Matchweek 31,Sat,01/02/2020,15:00 (02:00),Away,L,0.0,2.0,Portsmouth,"18,531",Max Power,3_4_3,Chris Sarginson,168290.0,PP,9.0,18.0,Sunderland,20436,6.8,90.0,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,75.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,George Dobson,Portsmouth 01/02/2020,MID
219,Matchweek 32,Sat,08/02/2020,15:00 (02:00),Home,W,1.0,0.0,Ipswich Town,"32,726",Max Power,3_4_3,Jeremy Simpson,168303.0,PP,8.0,18.0,Sunderland,20436,7.1,90.0,1.0,0.0,,0.0,0.0,0.0,37.0,1.0,86.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,George Dobson,Ipswich Town 08/02/2020,MID
220,Matchweek 33,Tue,11/02/2020,19:45 (06:45),Home,W,3.0,0.0,Rochdale,"27,401",Max Power,3_4_3,Graham Salisbury,168315.0,PP,7.0,18.0,Sunderland,20436,7,90.0,0.0,0.0,,0.0,0.0,0.0,50.0,0.0,89.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,George Dobson,Rochdale 11/02/2020,MID
221,Matchweek 34,Sat,15/02/2020,15:00 (02:00),Away,W,1.0,0.0,Oxford United,"9,105",Max Power,3_4_3,Kevin Johnson,168325.0,PP,7.0,18.0,Sunderland,20436,7.4,90.0,0.0,0.0,,0.0,0.0,0.0,31.0,0.0,86.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,George Dobson,Oxford United 15/02/2020,MID
222,Matchweek 35,Sat,22/02/2020,15:00 (02:00),Home,W,3.0,0.0,Bristol Rovers,"31,541",Max Power,3_4_3,Ben Toner,168340.0,PP,5.0,18.0,Sunderland,20436,7.5,90.0,0.0,0.0,,0.0,0.0,0.0,49.0,1.0,96.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,George Dobson,Bristol Rovers 22/02/2020,MID
223,Matchweek 13,Tue,25/02/2020,19:45 (06:45),Home,D,1.0,1.0,Fleetwood Town,"28,255",Max Power,3_4_3,Scott Oldham,168077.0,PP,7.0,18.0,Sunderland,20436,7.2,76.0,1.0,0.0,,0.0,0.0,0.0,41.0,1.0,83.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,George Dobson,Fleetwood Town 25/02/2020,MID
224,Matchweek 2,Sat,10/08/2019,15:00 (00:00),Away,D,1.0,1.0,Ipswich Town,"24,051",Aiden McGeady,4_3_3,Neil Hair,167939.0,JR,14.0,8.0,Sunderland,19908,6.8,90.0,0.0,0.0,,0.0,0.0,0.0,29.0,0.0,87.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Dylan McGeouch,Ipswich Town 10/08/2019,MID
225,Matchweek 3,Sat,17/08/2019,12:30 (21:30),Home,W,2.0,1.0,Portsmouth,"29,140",Grant Leadbitter,4_2_3_1,Michael Salisbury,167955.0,JR,9.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Portsmouth 17/08/2019,MID
226,Matchweek 4,Tue,20/08/2019,19:45 (04:45),Away,W,2.0,1.0,Rochdale,"5,258",Grant Leadbitter,4_2_3_1,John Busby,167966.0,JR,6.0,8.0,Sunderland,19908,6.4,25.0,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dylan McGeouch,Rochdale 20/08/2019,MID
227,Matchweek 5,Sat,24/08/2019,15:00 (00:00),Home,W,3.0,1.0,AFC Wimbledon,"29,725",Grant Leadbitter,4_2_3_1,Anthony Backhouse,167979.0,JR,4.0,8.0,Sunderland,19908,6.5,23.0,0.0,0.0,,0.0,0.0,0.0,16.0,0.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Dylan McGeouch,AFC Wimbledon 24/08/2019,MID
228,Matchweek 6,Sat,31/08/2019,15:00 (00:00),Away,L,0.0,3.0,P'borough Utd,"10,005",Grant Leadbitter,4_2_3_1,Craig Hicks,167991.0,JR,6.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,P'borough Utd 31/08/2019,MID
229,Matchweek 8,Sat,14/09/2019,15:00 (00:00),Away,W,3.0,1.0,Acc'ton Stanley,"4,164",Grant Leadbitter,4_2_3_1,Lee Swabey,168007.0,JR,6.0,8.0,Sunderland,19908,6.6,15.0,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dylan McGeouch,Acc'ton Stanley 14/09/2019,MID
230,Matchweek 9,Tue,17/09/2019,19:45 (04:45),Home,D,1.0,1.0,Rotherham Utd,"29,078",Aiden McGeady,4_2_3_1,Ben Toner,168026.0,JR,5.0,8.0,Sunderland,19908,6.7,90.0,0.0,0.0,,0.0,0.0,0.0,23.0,0.0,59.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Dylan McGeouch,Rotherham Utd 17/09/2019,MID
231,Matchweek 10,Sat,21/09/2019,15:00 (00:00),Away,D,1.0,1.0,Bolton,"12,026",Grant Leadbitter,4_2_3_1,Oliver Yates,168032.0,JR,5.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Bolton 21/09/2019,MID
232,Matchweek 11,Sat,28/09/2019,15:00 (00:00),Home,W,2.0,1.0,MK Dons,"29,954",Jordan Willis,4_2_3_1,Paul Marsden,168053.0,JR,5.0,8.0,Sunderland,19908,6.6,90.0,1.0,0.0,,0.0,0.0,0.0,30.0,1.0,73.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,Dylan McGeouch,MK Dons 28/09/2019,MID
233,Matchweek 12,Sat,05/10/2019,15:00 (00:00),Away,L,0.0,2.0,Lincoln City,"10,264",Jordan Willis,4_2_3_1,Brett Huxtable,168061.0,JR,6.0,8.0,Sunderland,19908,6.8,90.0,0.0,0.0,,0.0,0.0,0.0,36.0,0.0,76.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Dylan McGeouch,Lincoln City 05/10/2019,MID
234,Matchweek 14,Sat,19/10/2019,15:00 (01:00),Away,L,0.0,1.0,Wycombe,"8,395",Grant Leadbitter,4_2_3_1,Kevin Johnson,168089.0,PP,9.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Wycombe 19/10/2019,MID
235,Matchweek 15,Tue,22/10/2019,19:45 (05:45),Home,W,5.0,0.0,Tranmere Rovers,"28,551",Max Power,4_2_3_1,Carl Boyeson,168100.0,PP,6.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Tranmere Rovers 22/10/2019,MID
236,Matchweek 16,Sat,26/10/2019,15:00 (01:00),Away,L,0.0,1.0,Shrewsbury,"8,117",Max Power,4_2_3_1,Jarred Gillett,168111.0,PP,10.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Shrewsbury 26/10/2019,MID
237,Matchweek 17,Sat,02/11/2019,15:00 (02:00),Home,W,1.0,0.0,Southend United,"30,407",Max Power,4_2_3_1,Trevor Kettle,168124.0,PP,7.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Southend United 02/11/2019,MID
238,Matchweek 19,Sat,23/11/2019,15:00 (02:00),Home,D,1.0,1.0,Coventry City,"29,809",Grant Leadbitter,4_3_3,Scott Oldham,168148.0,PP,12.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Coventry City 23/11/2019,MID
239,Matchweek 7,Tue,26/11/2019,19:45 (06:45),Home,L,1.0,2.0,Burton Albion,"26,538",Grant Leadbitter,4_2_3_1,Rob Lewis,168003.0,PP,10.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Burton Albion 26/11/2019,MID
240,Matchweek 20,Sat,07/12/2019,15:00 (02:00),Away,L,0.0,1.0,Gillingham,"5,401",Grant Leadbitter,3_4_1_2,Andy Woolmer,168157.0,PP,12.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Gillingham 07/12/2019,MID
241,Matchweek 21,Sat,14/12/2019,15:00 (02:00),Home,D,1.0,1.0,Blackpool,"30,595",Max Power,3_4_3,Oliver Yates,168172.0,PP,12.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Blackpool 14/12/2019,MID
242,Matchweek 23,Thu,26/12/2019,15:00 (02:00),Home,D,0.0,0.0,Bolton,"33,821",Grant Leadbitter,3_4_3,Ross Joyce,168197.0,PP,15.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Bolton 26/12/2019,MID
243,Matchweek 24,Sun,29/12/2019,15:00 (02:00),Away,W,2.0,1.0,Doncaster,"12,432",Max Power,3_4_3,Carl Boyeson,168202.0,PP,13.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Doncaster 29/12/2019,MID
244,Matchweek 25,Wed,01/01/2020,15:00 (02:00),Away,D,1.0,1.0,Fleetwood Town,"4,011",Max Power,3_4_3,Anthony Backhouse,168215.0,PP,15.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Fleetwood Town 01/01/2020,MID
245,Matchweek 26,Sat,04/01/2020,15:00 (02:00),Home,W,3.0,1.0,Lincoln City,"31,748",Max Power,3_4_3,Leigh Doughty,168233.0,PP,13.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Lincoln City 04/01/2020,MID
246,Matchweek 27,Sat,11/01/2020,15:00 (02:00),Home,W,4.0,0.0,Wycombe,"29,331",Max Power,3_4_3,Andrew Davies,168245.0,PP,10.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Wycombe 11/01/2020,MID
247,Matchweek 28,Sat,18/01/2020,15:00 (02:00),Away,W,1.0,0.0,MK Dons,"13,327",Max Power,3_4_3,Ben Toner,168254.0,PP,6.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,MK Dons 18/01/2020,MID
248,Matchweek 29,Fri,24/01/2020,19:45 (06:45),Home,D,0.0,0.0,Doncaster,"30,251",Max Power,3_4_3,James Adcock,168269.0,PP,8.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Doncaster 24/01/2020,MID
249,Matchweek 30,Wed,29/01/2020,19:45 (06:45),Away,W,1.0,0.0,Tranmere Rovers,"6,850",Max Power,3_4_3,Anthony Coggins,168279.0,PP,7.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Tranmere Rovers 29/01/2020,MID
250,Matchweek 31,Sat,01/02/2020,15:00 (02:00),Away,L,0.0,2.0,Portsmouth,"18,531",Max Power,3_4_3,Chris Sarginson,168290.0,PP,9.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Portsmouth 01/02/2020,MID
251,Matchweek 32,Sat,08/02/2020,15:00 (02:00),Home,W,1.0,0.0,Ipswich Town,"32,726",Max Power,3_4_3,Jeremy Simpson,168303.0,PP,8.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Ipswich Town 08/02/2020,MID
252,Matchweek 33,Tue,11/02/2020,19:45 (06:45),Home,W,3.0,0.0,Rochdale,"27,401",Max Power,3_4_3,Graham Salisbury,168315.0,PP,7.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Rochdale 11/02/2020,MID
253,Matchweek 34,Sat,15/02/2020,15:00 (02:00),Away,W,1.0,0.0,Oxford United,"9,105",Max Power,3_4_3,Kevin Johnson,168325.0,PP,7.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Oxford United 15/02/2020,MID
254,Matchweek 35,Sat,22/02/2020,15:00 (02:00),Home,W,3.0,0.0,Bristol Rovers,"31,541",Max Power,3_4_3,Ben Toner,168340.0,PP,5.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Bristol Rovers 22/02/2020,MID
255,Matchweek 13,Tue,25/02/2020,19:45 (06:45),Home,D,1.0,1.0,Fleetwood Town,"28,255",Max Power,3_4_3,Scott Oldham,168077.0,PP,7.0,,Sunderland,19908,,,,,,,,,,,,,,,,,,,,,,,,,Dylan McGeouch,Fleetwood Town 25/02/2020,MID
256,Matchweek 2,Sat,10/08/2019,15:00 (00:00),Away,D,1.0,1.0,Ipswich Town,"24,051",Aiden McGeady,4_3_3,Neil Hair,167939.0,JR,14.0,11.0,Sunderland,19901,7.1,90.0,3.0,1.0,,0.0,0.0,1.0,22.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,Lynden Gooch,Ipswich Town 10/08/2019,MID
257,Matchweek 3,Sat,17/08/2019,12:30 (21:30),Home,W,2.0,1.0,Portsmouth,"29,140",Grant Leadbitter,4_2_3_1,Michael Salisbury,167955.0,JR,9.0,11.0,Sunderland,19901,6.1,90.0,0.0,0.0,,0.0,0.0,0.0,16.0,2.0,84.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,Lynden Gooch,Portsmouth 17/08/2019,MID
258,Matchweek 4,Tue,20/08/2019,19:45 (04:45),Away,W,2.0,1.0,Rochdale,"5,258",Grant Leadbitter,4_2_3_1,John Busby,167966.0,JR,6.0,11.0,Sunderland,19901,6.2,55.0,0.0,0.0,,0.0,0.0,0.0,7.0,1.0,63.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Lynden Gooch,Rochdale 20/08/2019,MID
259,Matchweek 5,Sat,24/08/2019,15:00 (00:00),Home,W,3.0,1.0,AFC Wimbledon,"29,725",Grant Leadbitter,4_2_3_1,Anthony Backhouse,167979.0,JR,4.0,11.0,Sunderland,19901,6.8,57.0,1.0,0.0,,0.0,0.0,0.0,14.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,Lynden Gooch,AFC Wimbledon 24/08/2019,MID
260,Matchweek 6,Sat,31/08/2019,15:00 (00:00),Away,L,0.0,3.0,P'borough Utd,"10,005",Grant Leadbitter,4_2_3_1,Craig Hicks,167991.0,JR,6.0,11.0,Sunderland,19901,6.3,63.0,1.0,0.0,,0.0,0.0,0.0,8.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,Lynden Gooch,P'borough Utd 31/08/2019,MID
261,Matchweek 8,Sat,14/09/2019,15:00 (00:00),Away,W,3.0,1.0,Acc'ton Stanley,"4,164",Grant Leadbitter,4_2_3_1,Lee Swabey,168007.0,JR,6.0,11.0,Sunderland,19901,6.9,90.0,1.0,1.0,,0.0,0.0,1.0,15.0,1.0,78.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Lynden Gooch,Acc'ton Stanley 14/09/2019,MID
262,Matchweek 9,Tue,17/09/2019,19:45 (04:45),Home,D,1.0,1.0,Rotherham Utd,"29,078",Aiden McGeady,4_2_3_1,Ben Toner,168026.0,JR,5.0,11.0,Sunderland,19901,6.4,85.0,0.0,0.0,,0.0,0.0,0.0,18.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,Lynden Gooch,Rotherham Utd 17/09/2019,MID
263,Matchweek 10,Sat,21/09/2019,15:00 (00:00),Away,D,1.0,1.0,Bolton,"12,026",Grant Leadbitter,4_2_3_1,Oliver Yates,168032.0,JR,5.0,11.0,Sunderland,19901,6.5,90.0,5.0,1.0,,0.0,0.0,0.0,31.0,1.0,73.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Lynden Gooch,Bolton 21/09/2019,MID
