,event_id,squadnumber,team_name,player_name_x,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,player_name_y,Opponent
34,167966,23,Sunderland,Grant Leadbitter,19904,7.1,90,1,0,,0,0,0,25,0,80,1,0,3,0,0,0,0,0,0,2,0,1,0,Grant Leadbitter,Rochdale
35,167966,11,Sunderland,Lynden Gooch,19901,6.2,55,0,0,,0,0,0,7,1,63,1,0,0,0,0,1,1,0,1,0,0,0,0,Lynden Gooch,Rochdale
36,167966,7,Sunderland,Chris Maguire,19916,7,88,1,0,,0,0,0,22,2,66,1,0,0,0,0,0,0,0,3,0,0,0,0,Chris Maguire,Rochdale
37,167966,19,Sunderland,Aiden McGeady,19907,7.6,90,4,1,,0,1,1,18,1,81,1,0,1,0,0,1,1,1,2,1,0,0,0,Aiden McGeady,Rochdale
38,167966,9,Sunderland,Charlie Wyke,19918,7.4,90,2,2,,0,0,1,12,1,50,0,0,1,0,0,0,0,0,0,1,0,1,0,Charlie Wyke,Rochdale
39,167966,17,Sunderland,Elliot Embleton,17838,–,2,0,0,,0,0,0,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,Elliot Embleton,Rochdale
40,167966,8,Sunderland,Dylan McGeouch,19908,6.4,25,0,0,,0,0,0,9,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,Dylan McGeouch,Rochdale
41,167966,22,Sunderland,Will Grigg,19915,6.6,35,1,1,,0,0,0,6,0,85,0,0,1,0,0,0,0,0,0,0,0,0,0,Will Grigg,Rochdale
42,167979,1,Sunderland,Jon McLaughlin,19880,6.2,90,0,0,,1,0,0,15,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,Jon McLaughlin,AFC Wimbledon
43,167979,13,Sunderland,Luke O'Nien,19911,7.1,90,0,0,,0,1,0,66,2,79,0,1,0,0,0,0,0,0,1,0,0,0,0,Luke O'Nien,AFC Wimbledon
44,167979,5,Sunderland,Alim Öztürk,19896,6.9,90,0,0,,0,0,0,50,0,89,0,0,2,0,0,0,0,0,0,0,0,0,0,Alim √ñzt√ºrk,AFC Wimbledon
45,167979,4,Sunderland,Jordan Willis,19992,7,90,1,1,,0,0,0,42,0,89,0,0,0,0,0,0,0,0,1,0,0,0,0,Jordan Willis,AFC Wimbledon
46,167979,33,Sunderland,Denver Hume,19888,6.9,90,0,0,,0,0,0,43,1,76,0,0,0,0,0,2,2,0,0,1,0,0,0,Denver Hume,AFC Wimbledon
47,167979,6,Sunderland,Max Power,19912,6.5,67,0,0,,0,0,0,43,0,82,0,0,0,0,0,1,1,1,0,1,0,1,0,Max Power,AFC Wimbledon
48,167979,23,Sunderland,Grant Leadbitter,19904,7.5,90,0,0,,0,0,0,57,3,89,1,1,2,0,0,2,2,0,0,1,0,0,0,Grant Leadbitter,AFC Wimbledon
49,167979,11,Sunderland,Lynden Gooch,19901,6.8,57,1,0,,0,0,0,14,0,73,0,0,0,0,0,3,3,1,2,0,0,0,0,Lynden Gooch,AFC Wimbledon
50,167979,7,Sunderland,Chris Maguire,19916,9,82,5,3,,0,0,3,34,0,79,1,0,1,0,0,0,0,0,0,1,0,0,0,Chris Maguire,AFC Wimbledon
51,167979,19,Sunderland,Aiden McGeady,19907,7.1,90,5,2,,0,0,0,29,2,82,2,0,0,0,0,0,0,0,1,0,0,0,0,Aiden McGeady,AFC Wimbledon
52,167979,9,Sunderland,Charlie Wyke,19918,7,90,3,1,,0,0,0,12,2,70,2,0,0,0,0,1,0,0,1,5,0,0,0,Charlie Wyke,AFC Wimbledon
53,167979,18,Sunderland,George Dobson,20436,6.6,8,0,0,,0,0,0,1,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,George Dobson,AFC Wimbledon
54,167979,8,Sunderland,Dylan McGeouch,19908,6.5,23,0,0,,0,0,0,16,0,88,1,0,0,0,0,0,0,0,1,0,0,0,0,Dylan McGeouch,AFC Wimbledon
55,167979,22,Sunderland,Will Grigg,19915,6.5,33,1,0,,0,0,0,3,0,75,0,0,0,0,0,0,0,0,1,0,0,0,0,Will Grigg,AFC Wimbledon
56,167991,1,Sunderland,Jon McLaughlin,19880,5.8,90,0,0,,3,0,0,14,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,Jon McLaughlin,P'borough Utd
57,167991,13,Sunderland,Luke O'Nien,19911,5.8,71,0,0,,0,0,0,35,0,79,0,0,1,0,0,0,0,0,1,0,1,0,0,Luke O'Nien,P'borough Utd
58,167991,5,Sunderland,Alim Öztürk,19896,6.5,90,0,0,,0,0,0,29,0,72,0,0,1,0,0,1,1,0,1,1,0,0,0,Alim √ñzt√ºrk,P'borough Utd
59,167991,4,Sunderland,Jordan Willis,19992,6.6,90,1,0,,0,0,0,20,1,64,0,1,1,0,0,0,0,0,0,0,0,0,0,Jordan Willis,P'borough Utd
60,167991,2,Sunderland,Connor McLaughlin,19633,6.3,90,0,0,,0,0,0,29,1,70,2,0,1,0,0,1,1,0,1,0,0,1,0,Connor McLaughlin,P'borough Utd
61,167991,6,Sunderland,Max Power,19912,6.3,90,2,0,,0,0,0,37,0,82,0,0,0,0,0,0,0,0,1,4,0,1,0,Max Power,P'borough Utd
62,167991,23,Sunderland,Grant Leadbitter,19904,6.7,90,0,0,,0,0,0,39,2,88,0,0,3,0,0,0,0,0,0,5,0,1,0,Grant Leadbitter,P'borough Utd
63,167991,11,Sunderland,Lynden Gooch,19901,6.3,63,1,0,,0,0,0,8,1,80,0,0,0,0,0,5,3,0,2,0,0,0,0,Lynden Gooch,P'borough Utd
64,167991,10,Sunderland,Marc McNulty,44853,6.4,74,2,1,,0,0,0,10,0,62,0,0,0,0,0,2,1,0,0,2,0,0,0,Marc McNulty,P'borough Utd
65,167991,19,Sunderland,Aiden McGeady,19907,6.4,78,1,0,,0,0,0,14,0,66,1,0,1,0,0,0,0,1,0,0,0,0,0,Aiden McGeady,P'borough Utd
66,167991,9,Sunderland,Charlie Wyke,19918,6.5,77,1,0,,0,0,0,7,1,35,0,0,0,0,0,0,0,0,4,3,1,2,0,Charlie Wyke,P'borough Utd
67,167991,12,Sunderland,Tom Flanagan,19887,6.3,16,0,0,,0,0,0,5,0,71,0,0,0,0,0,0,0,0,0,1,0,0,0,Tom Flanagan,P'borough Utd
68,167991,18,Sunderland,George Dobson,20436,6.7,12,0,0,,0,0,0,7,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,George Dobson,P'borough Utd
69,167991,22,Sunderland,Will Grigg,19915,6.5,27,0,0,,0,0,0,5,0,100,0,0,0,0,0,1,0,0,2,0,0,0,0,Will Grigg,P'borough Utd
